Datetime,Water Level (m)
2024-03-31 18:00:00,0.30576324
2024-03-31 19:00:00,0.31912595
2024-03-31 20:00:00,0.2780599
2024-03-31 21:00:00,0.23363951
2024-03-31 22:00:00,0.21025693
2024-03-31 23:00:00,0.18276973
2024-04-01 00:00:00,0.14390191
2024-04-01 01:00:00,0.11356195
2024-04-01 02:00:00,0.12541494
2024-04-01 03:00:00,0.20277834
2024-04-01 04:00:00,0.29893836
2024-04-01 05:00:00,0.3547653
2024-04-01 06:00:00,0.36042306
2024-04-01 07:00:00,0.32163903
2024-04-01 08:00:00,0.27912393
2024-04-01 09:00:00,0.25224873
2024-04-01 10:00:00,0.2283096
2024-04-01 11:00:00,0.19567229
2024-04-01 12:00:00,0.15363026
2024-04-01 13:00:00,0.12036657
2024-04-01 14:00:00,0.15564623
2024-04-01 15:00:00,0.26993036
2024-04-01 16:00:00,0.36445007
2024-04-01 17:00:00,0.42038897
2024-04-01 18:00:00,0.450944
2024-04-01 19:00:00,0.494815
2024-04-01 20:00:00,0.5033482
2024-04-01 21:00:00,0.443741
2024-04-01 22:00:00,0.38935998
2024-04-01 23:00:00,0.35676554
2024-04-02 00:00:00,0.3201905
2024-04-02 01:00:00,0.2731881
2024-04-02 02:00:00,0.2266359
2024-04-02 03:00:00,0.19942781
2024-04-02 04:00:00,0.21768221
2024-04-02 05:00:00,0.29380766
2024-04-02 06:00:00,0.36186412
2024-04-02 07:00:00,0.374334
2024-04-02 08:00:00,0.3192007
2024-04-02 09:00:00,0.2724752
2024-04-02 10:00:00,0.2504678
2024-04-02 11:00:00,0.22521879
2024-04-02 12:00:00,0.18830681
2024-04-02 13:00:00,0.15031378
2024-04-02 14:00:00,0.11844438
2024-04-02 15:00:00,0.13109428
2024-04-02 16:00:00,0.21599032
2024-04-02 17:00:00,0.32234725
2024-04-02 18:00:00,0.4004721
2024-04-02 19:00:00,0.44087473
2024-04-02 20:00:00,0.47470024
2024-04-02 21:00:00,0.49821204
2024-04-02 22:00:00,0.46156445
2024-04-02 23:00:00,0.4041558
2024-04-03 00:00:00,0.36515802
2024-04-03 01:00:00,0.33195812
2024-04-03 02:00:00,0.2863986
2024-04-03 03:00:00,0.23932517
2024-04-03 04:00:00,0.20179404
2024-04-03 05:00:00,0.18592495
2024-04-03 06:00:00,0.21584025
2024-04-03 07:00:00,0.2995454
2024-04-03 08:00:00,0.36240578
2024-04-03 09:00:00,0.37487125
2024-04-03 10:00:00,0.32171795
2024-04-03 11:00:00,0.28252375
2024-04-03 12:00:00,0.26316205
2024-04-03 13:00:00,0.23538785
2024-04-03 14:00:00,0.19237135
2024-04-03 15:00:00,0.15188129
2024-04-03 16:00:00,0.13416298
2024-04-03 17:00:00,0.16982082
2024-04-03 18:00:00,0.27041197
2024-04-03 19:00:00,0.3711255
2024-04-03 20:00:00,0.43844008
2024-04-03 21:00:00,0.4731765
2024-04-03 22:00:00,0.5065365
2024-04-03 23:00:00,0.50547147
2024-04-04 00:00:00,0.4477038
2024-04-04 01:00:00,0.39709023
2024-04-04 02:00:00,0.36482736
2024-04-04 03:00:00,0.3264827
2024-04-04 04:00:00,0.2797253
2024-04-04 05:00:00,0.23269106
2024-04-04 06:00:00,0.1979655
2024-04-04 07:00:00,0.20727812
2024-04-04 08:00:00,0.29553142
2024-04-04 09:00:00,0.399
2024-04-04 10:00:00,0.44591656
2024-04-04 11:00:00,0.4361896
2024-04-04 12:00:00,0.38384062
2024-04-04 13:00:00,0.33036345
2024-04-04 14:00:00,0.29918948
2024-04-04 15:00:00,0.27837703
2024-04-04 16:00:00,0.24566332
2024-04-04 17:00:00,0.21202135
2024-04-04 18:00:00,0.19681506
2024-04-04 19:00:00,0.25647682
2024-04-04 20:00:00,0.37590945
2024-04-04 21:00:00,0.4711544
2024-04-04 22:00:00,0.5196489
2024-04-04 23:00:00,0.54238516
2024-04-05 00:00:00,0.5570231
2024-04-05 01:00:00,0.5141672
2024-04-05 02:00:00,0.456711
2024-04-05 03:00:00,0.4205444
2024-04-05 04:00:00,0.39089903
2024-04-05 05:00:00,0.34253976
2024-04-05 06:00:00,0.2913038
2024-04-05 07:00:00,0.25754076
2024-04-05 08:00:00,0.30028912
2024-04-05 09:00:00,0.42872366
2024-04-05 10:00:00,0.5298258
2024-04-05 11:00:00,0.5760557
2024-04-05 12:00:00,0.5653014
2024-04-05 13:00:00,0.5307736
2024-04-05 14:00:00,0.4686569
2024-04-05 15:00:00,0.43672422
2024-04-05 16:00:00,0.41155916
2024-04-05 17:00:00,0.3727617
2024-04-05 18:00:00,0.32259715
2024-04-05 19:00:00,0.2926632
2024-04-05 20:00:00,0.36134484
2024-04-05 21:00:00,0.49402916
2024-04-05 22:00:00,0.59349996
2024-04-05 23:00:00,0.63971967
2024-04-06 00:00:00,0.6612279
2024-04-06 01:00:00,0.6698832
2024-04-06 02:00:00,0.61735785
2024-04-06 03:00:00,0.5605984
2024-04-06 04:00:00,0.5206865
2024-04-06 05:00:00,0.4773875
2024-04-06 06:00:00,0.42366895
2024-04-06 07:00:00,0.3712483
2024-04-06 08:00:00,0.34234235
2024-04-06 09:00:00,0.43072984
2024-04-06 10:00:00,0.5651918
2024-04-06 11:00:00,0.6549424
2024-04-06 12:00:00,0.67109066
2024-04-06 13:00:00,0.66232234
2024-04-06 14:00:00,0.6322562
2024-04-06 15:00:00,0.5802832
2024-04-06 16:00:00,0.54115885
2024-04-06 17:00:00,0.5057565
2024-04-06 18:00:00,0.4545365
